,Headlines,Time,Sentiment
2482,Cramer reflects on Italy panic: 'A little context could've gone a long way'," 7:15  PM ET Mon,  4 June 2018",2
2483,Cramer's lightning round: I don't like Monster Beverage anymore," 7:06  PM ET Mon,  4 June 2018",1
2484,"Cramer's charts of Chipotle, Del Taco and El Pollo Loco track the fast-casual dining comeback"," 7:14  PM ET Mon,  4 June 2018",5
2485,Cramer: It's not just FANG—here are the other tech stocks that pushed the Nasdaq to new highs," 7:14  PM ET Mon,  4 June 2018",3
2486,Cramer Remix: This weak jobs number doesn’t represent the strength of the economy," 7:01  PM ET Fri,  1 June 2018",2
2487,Cramer's lightning round: I think GE's shares are bottoming," 7:08  PM ET Fri,  1 June 2018",2
2489,Cramer offers 'cloud prince' Coupa Software as an attractive apolitical investment," 7:44  PM ET Fri,  1 June 2018",4
2490,Cramer: This jobs report shows we have the 'perfect economy' for stocks," 7:44  PM ET Fri,  1 June 2018",5
2491,Cramer's game plan: Take on more risk as the jobs boom boosts stocks," 7:44  PM ET Fri,  1 June 2018",4
2492,"Cramer: We blew it on 3M, but it’s too late to sell"," 7:14  PM ET Thu, 31 May 2018",1
2493,"Cramer: Steel producer Nucor the biggest winner on Trump tariffs, a ‘gift’ to investors"," 7:14  PM ET Thu, 31 May 2018",5
2494,"The US is the hottest market for trading, analyst says"," 1:21  AM ET Thu, 31 May 2018",5
2496,PVH CEO on China tariff threats: ‘Cooler heads will prevail’," 7:05  PM ET Wed, 30 May 2018",3
2497,Cramer: 5 reasons the stock market rebounded," 7:03  PM ET Wed, 30 May 2018",2
2498,"Bitcoin is the market's new fear gauge, investor says"," 9:28  PM ET Tue, 29 May 2018",5
2499,Fed slow to raise interest rates amid political turmoil: Art Cashin," 7:02  PM ET Tue, 29 May 2018",2
2500,Cramer's charts show there could be more pain ahead for oil," 2:09  PM ET Wed, 30 May 2018",3
2501,Cramer: Market panic will turn out to be buying opportunity," 7:23  PM ET Tue, 29 May 2018",1
2502,Salesforce CEO Marc Benioff: The economy is really ripping," 7:34  PM ET Tue, 29 May 2018",2
2503,Stock market plunge is a buying opportunity: Analysts," 3:48  PM ET Tue, 29 May 2018",4
2504,Cramer Remix: Don’t let the earnings bonanza confuse you," 7:00  PM ET Fri, 12 July 2019",1
2505,Cramer Remix: Don’t let this buying opportunity pass again," 7:01  PM ET Thu, 24 May 2018",1
2506,"Cramer: Inflation is a real worry, but it's 'far from permanent'"," 7:24  PM ET Thu, 24 May 2018",3
2507,Cramer's lightning round: I was wrong about Roku—it's a good company," 7:05  PM ET Thu, 24 May 2018",4
2508,Cramer: The Netflix-Disney comparison reminds me of a famous Babe Ruth quote," 7:23  PM ET Thu, 24 May 2018",4
2509,Cramer Remix: Prepare yourself for more pain in homebuilding stocks," 7:00  PM ET Wed, 23 May 2018",5
2511,"Cramer's lightning round: I don't have a thesis for Blue Apron, so don't buy"," 7:02  PM ET Wed, 23 May 2018",1
2512,"China will someday be the largest cruise market in the world, Carnival Corp CEO says"," 7:57  PM ET Wed, 23 May 2018",1
2513,Cramer's charts suggest investors buy Akamai and sell Walmart," 7:57  PM ET Wed, 23 May 2018",1
2514,"Cramer credits Tiffany's staggering post-earnings rally to new CEO, strong execution"," 7:55  PM ET Wed, 23 May 2018",5
2515,"Cramer Remix: If we see another pullback, buy this sector"," 7:04  PM ET Tue, 22 May 2018",5
2516,Rent the Runway CEO: People should think about their closets like stock portfolios," 7:36  PM ET Tue, 22 May 2018",4
2518,Cramer's lightning round: Accounting issues at Flex mean you should sell the stock," 7:13  PM ET Tue, 22 May 2018",1
2519,"'I am worried about NAFTA,' says CEO of major US railroad serving Mexico and Canada"," 7:35  PM ET Tue, 22 May 2018",1
2520,"Cramer: If you want bigger gains, buy stocks that are selling off on panic","10:51  AM ET Wed, 23 May 2018",1
2521,"Markets are failing to appreciate how much further earnings have to grow, asset manager says"," 9:58  AM ET Tue, 22 May 2018",2
2522,Cramer Remix: Joint ventures in China may be a thing of the past," 1:24  PM ET Tue, 22 May 2018",3
2523,Cramer's lightning round: The bears are wrong about cruise ship stocks," 7:06  PM ET Mon, 21 May 2018",1
2524,"Zillow's move into flipping homes is like Netflix's move into originals, CEO says"," 7:16  PM ET Mon, 21 May 2018",3
2525,"Fortnite may draw younger consumers to gaming for the long term, says Take-Two CEO"," 7:12  PM ET Mon, 21 May 2018",3
2526,Cramer: This trade-led rally makes sense—just look at the retail sector," 7:11  PM ET Mon, 21 May 2018",5
2527,CEO of cannabis company says legal weed could result in fewer opioid prescriptions in the US," 7:10  PM ET Thu, 17 May 2018",1
2528,Cramer fears Fed raising rates too quickly will halt a 'red hot' economy," 6:46  PM ET Thu, 17 May 2018",2
2529,Cramer Remix: A lot of the negativity in the market is bogus," 7:03  PM ET Wed, 16 May 2018",2
2530,Cramer's lightning round: Don't buy Apple suppliers right now," 7:03  PM ET Wed, 16 May 2018",1
2531,"PayPal CFO sees opportunity in consumers who have mobile devices, but not bank accounts"," 7:31  PM ET Wed, 16 May 2018",3
2533,PayPal CFO: Our merchants aren't interested in crypto—it's too volatile," 7:30  PM ET Wed, 16 May 2018",2
2534,Cramer explains how Micron and Macy's stocks sparked a rally," 7:29  PM ET Wed, 16 May 2018",4
2535,Cramer Remix: The one stock that is being unjustly overlooked," 7:01  PM ET Tue, 15 May 2018",4
2536,Cramer's lightning round: Take a pass on Bristol-Myers Squibb shares for now," 7:00  PM ET Tue, 15 May 2018",5
2537,Cramer: Disney's chart just flashed the scariest pattern in the book—but the stock could still go up," 7:26  PM ET Tue, 15 May 2018",3
2538,Cramer calls on investors to give Home Depot the benefit of the doubt after earnings miss," 7:25  PM ET Tue, 15 May 2018",1
2540,"Cramer: FANG isn't dead, just giving the market a breather"," 7:24  PM ET Tue, 15 May 2018",4
2541,"Solid economy may not stay that way, says financial advisor. Here's how to protect your portfolio"," 6:41  AM ET Wed, 16 May 2018",4
2542,Cramer: 3 reasons why this market rally should be taken seriously," 7:45  PM ET Mon, 14 May 2018",3
2543,Cramer: Shake Shack shares are too expensive right now," 5:20  AM ET Wed, 16 May 2018",1
2544,Cramer Remix: The most beaten-down group in the entire market,"10:55  AM ET Mon, 14 May 2018",5
2545,Cramer: Forget Nvidia's slowing crypto franchise—this best-in-show stock is a buy," 7:54  PM ET Fri, 11 May 2018",5
2546,Cramer's lightning round: Sell Priceline parent on pricing pressure," 7:02  PM ET Fri, 11 May 2018",1
2547,Cramer compares Michael Kors and Molson Coors and picks the better stock," 7:54  PM ET Fri, 11 May 2018",5
2548,Cramer's game plan: Strong consumer spending could drive upside surprises," 7:53  PM ET Fri, 11 May 2018",4
2549,Cramer Remix: The one thing that’s keeping the market from tanking," 7:02  PM ET Thu, 10 May 2018",5
2550,"Cramer's lightning round: Unfortunately, now is the time to own defense stocks"," 7:02  PM ET Thu, 10 May 2018",3
2551,Cramer: Investors are waking up to the 'terribly inefficient' oil market," 7:29  PM ET Thu, 10 May 2018",1
2552,"Cramer vets biotech giants Biogen, Celgene, Gilead and Regeneron for positive prospects"," 7:28  PM ET Thu, 10 May 2018",4
2553,"Cramer: Facebook, Amazon and Apple's quarters kickstarted this market rally"," 7:27  PM ET Thu, 10 May 2018",5
2555,Cramer Remix: Higher interest rates could create the leadership this market needs," 7:04  PM ET Wed,  9 May 2018",4
2556,Cramer's lightning round: The market's wrong on Constellation Brands," 7:04  PM ET Wed,  9 May 2018",1
2557,Etsy CEO: We're in a different business than Amazon and other big online retailers,"11:00  AM ET Thu, 10 May 2018",5
2558,"Cramer defends Disney and Walmart's 'bold' investments after stocks fall on ESPN, Flipkart news"," 7:51  PM ET Wed,  9 May 2018",1
2559,Cramer: Morgan Stanley's call on Micron just saved stocks from trade fears," 9:41  AM ET Thu, 16 Jan 2020",1
2560,Cramer Remix: GE just got a huge break—the stock may have bottomed," 7:10  PM ET Tue,  8 May 2018",1
2562,Cramer's lightning round: Philip Morris could be a 'value trap' with the rise of Juul," 7:04  PM ET Tue,  8 May 2018",3
2563,"Cramer: Charts flash bullish signs in shares of Caterpillar, Boeing and United Technologies"," 7:26  PM ET Tue,  8 May 2018",1
2564,"For the first time since 2015, we're seeing organic growth: Valeant Pharma CEO"," 7:26  PM ET Tue,  8 May 2018",5
2565,Cramer: Trump's Iran deal announcement showed just how 'stupid' this market is," 7:27  PM ET Tue,  8 May 2018",1
2566,Cramer Remix: Spotify delivered on earnings—here’s why investors dropped it anyway,"11:26  AM ET Tue,  8 May 2018",1
2567,"'We want to get cash out of the system' with mobile payments, Bank of America's digital chief says"," 7:21  PM ET Mon,  7 May 2018",1
2568,"Cramer's lightning round: If you own stock in a gold company, you can take profits here"," 7:06  PM ET Mon,  7 May 2018",1
2569,"Cramer: Wall Street got Spotify's quarter all wrong—I'd be a buyer, not a seller"," 7:21  PM ET Mon,  7 May 2018",1
2570,"Cramer commends Estee Lauder's CEO, advises buying beauty stock despite its poor performance"," 7:20  PM ET Mon,  7 May 2018",4
2571,Cramer: Warren Buffett's aversion to iPhones might've been what kept him out of Amazon and Alphabet," 7:20  PM ET Mon,  7 May 2018",3
2572,Here's why Kentucky Derby owner Churchill Downs sees digital as a massive growth engine," 8:00  AM ET Sat,  5 May 2018",5
2573,Cramer Remix: Why Apple is a better version of Procter & Gamble," 7:05  PM ET Fri,  4 May 2018",1
2574,Cramer reviews Berkshire Hathaway's top 5 stock positions," 7:16  PM ET Fri,  4 May 2018",5
2575,Cramer's lightning round: Kentucky Derby racetrack owner is a buy," 7:04  PM ET Fri,  4 May 2018",5
2577,"Bitcoin's 'been a problem for us,' says CEO of top cybersecurity firm FireEye"," 7:16  PM ET Fri,  4 May 2018",1
2578,"Fresh off a key acquisition, Axon CEO touts benefits of body camera tech for police"," 7:15  PM ET Fri,  4 May 2018",5
2579,Cramer's game plan: This China-led strength could continue thanks to earnings," 7:06  PM ET Fri,  4 May 2018",4
2580,"Cramer Remix: Elon Musk’s conference call was his best, ever"," 7:00  PM ET Thu,  3 May 2018",5
2581,Cramer thanks Tesla CEO Elon Musk 'for telling the truth' after boorish conference call," 7:17  PM ET Thu,  3 May 2018",4
2582,Cramer's lightning round: Don't buy Monster Beverage—it's running out of steam," 7:04  PM ET Thu,  3 May 2018",1
2584,Market volatility is not over: Wall Street strategist," 6:39  PM ET Thu,  3 May 2018",1
2585,Cramer: Buy MGM Resorts despite the casino stock's 'hideous pullback'," 7:17  PM ET Thu,  3 May 2018",1
2586,"Cramer on trade: China could wait out Trump's presidency to make a deal, and that's bad for stocks","12:38  PM ET Fri,  4 May 2018",2
2587,A big trade deal 'unlikely to happen' with Trump's team in China: Former government official," 4:42  PM ET Thu,  3 May 2018",1
2588,RBC market analyst: Tech is an area of risk in the stock market," 1:48  PM ET Thu,  3 May 2018",2
2589,Cramer Remix: Apple could have just signaled that Trump will make a trade deal with China," 7:03  PM ET Wed,  2 May 2018",1
2590,Cramer's lightning round: Danaher is one of my favorite charitable trust holdings," 7:03  PM ET Wed,  2 May 2018",5
2591,Cramer: You'll miss out if you ignore these giant stock buybacks," 7:28  PM ET Wed,  2 May 2018",1
2592,Cramer applauds Apple's emerging razor-razorblade model: This could be 'huge'," 7:25  AM ET Thu,  3 May 2018",4
2593,Cramer pinpoints the 4 things that saved Facebook from its Cambridge Analytica scandal," 7:28  PM ET Wed,  2 May 2018",1
2594,Cramer Remix: Great expectations are the bane of this market," 7:02  PM ET Tue,  1 May 2018",5
2595,Cramer's lightning round: Get out of Hi-Crush before you get crushed,"11:45  AM ET Wed,  2 May 2018",5
2596,Cramer's charts signal strength ahead for energy and industrial stocks like General Electric," 7:18  PM ET Tue,  1 May 2018",5
2597,"Cramer: The selling has gone too far, especially after Trump's tax cuts"," 7:17  PM ET Tue,  1 May 2018",2
2599,Cramer reflects on Apple earnings after speaking with CEO Tim Cook," 7:16  PM ET Tue,  1 May 2018",4
2600,Cramer Remix: The world has turned on this sector," 7:01  PM ET Mon, 30 April 2018",5
2601,Cramer's lightning round: Corning's stock is an unnecessary victim of T-Mobile-Sprint merger," 7:02  PM ET Mon, 30 April 2018",1
2602,Cramer: T-Mobile's John Legere could be the ticket to Sprint merger approval," 6:59  PM ET Mon, 30 April 2018",3
2603,Allergan CEO says Botox maker's new depression drug could be an 'absolute game-changer',"10:36  PM ET Mon, 30 April 2018",1
2604,"Cramer: Mergers, value and earnings surprises are sending stocks higher—but they may not be enough"," 7:02  PM ET Mon, 30 April 2018",3
2606,Cramer Remix: Microsoft and Intel could rule the world again," 6:59  PM ET Fri, 27 April 2018",5
2607,Cramer: Apple has the most to lose from a trade war," 7:11  PM ET Fri, 27 April 2018",1
2608,Cramer's game plan: This market lacks clarity. Here's how to manage," 7:11  PM ET Fri, 27 April 2018",2
2609,Cramer Remix: Why Whirlpool’s stock is not worth the risk," 7:24  PM ET Thu, 26 April 2018",1
2610,Cramer: Advanced Micro Devices is a good buy for long-term investors," 7:35  PM ET Thu, 26 April 2018",4
2611,Cramer's lightning round: Now is the time to buy Walgreens' stock," 6:59  PM ET Thu, 26 April 2018",5
2612,Cramer: Domino's Pizza might have the best earnings report this season," 7:07  PM ET Thu, 26 April 2018",3
2613,Cramer: Big tech is behind the market rally," 5:31  AM ET Fri, 27 April 2018",5
2614,When 10Y/2Y spread get under 40 basis points," 1:25  PM ET Thu, 26 April 2018",2
2615,Market by midterms when President's approval below 50%," 9:45  AM ET Thu, 26 April 2018",3
2616,Cramer Remix: These tech titans aren’t breaking the bank - let them spend,"11:20  AM ET Thu, 26 April 2018",1
2617,Cramer's lightning round: Teva Pharmaceuticals is 'not good enough' for your portfolio,"11:10  AM ET Thu, 26 April 2018",1
2618,"Bill Ackman's bet against Herbalife was 'dangerous,' CNBC's Scott Wapner says"," 7:17  PM ET Wed, 25 April 2018",1
2619,Cramer’s strategy for dealing with market volatility,"10:56  AM ET Thu, 26 April 2018",4
2621,Cramer: Don't panic over the rising 10-year Treasury yield," 7:16  PM ET Wed, 25 April 2018",5
2622,Cramer: Reevaluate your portfolio during market volatility. Don't buy more!," 4:58  AM ET Thu, 26 April 2018",5
2623,Cramer Remix: Navigating buying opportunities in tech amid a sell-off," 7:23  PM ET Tue, 24 April 2018",5
2624,Cramer's lightning round: Wait for Take Two's earnings before buying," 7:21  PM ET Tue, 24 April 2018",1
2625,Cramer says Alphabet's recent declines are a buying opportunity," 7:29  PM ET Tue, 24 April 2018",4
2626,Cramer's charts could signal trouble in the market," 7:29  PM ET Tue, 24 April 2018",3
2628,Cramer: Be careful what you say – even red-hot earnings can’t hold up in this sell-off," 7:28  PM ET Tue, 24 April 2018",1
2629,Cramer Remix: How you should focus on Hasbro," 7:00  PM ET Mon, 23 April 2018",5
2630,Cramer's lightning round: Ingersoll-Rand is the right stock for this economic phase," 7:03  PM ET Mon, 23 April 2018",5
2631,Cramer: Vaping is decimating the cigarette industry—and it could get even worse," 7:21  PM ET Mon, 23 April 2018",1
2632,"Cramer walks back negative Newell call after proxy fight ends, gives blessing to buy"," 7:20  PM ET Mon, 23 April 2018",1
2633,Cramer argues the trade war is more worrisome than 10-year Treasury yields approaching 3%," 7:19  PM ET Mon, 23 April 2018",2
2634,Cramer Remix: The most eagerly anticipated report of the year," 7:02  PM ET Fri, 20 April 2018",5
2635,"Cramer's lightning round: Edwards Lifesciences is simplifying heart surgery, and it's a buy"," 7:04  PM ET Fri, 20 April 2018",5
2636,"Cramer: Legalization is bad for marijuana pricing—right now, pot stocks look expensive"," 7:24  PM ET Fri, 20 April 2018",1
2637,Cramer: Trump shouldn't be calling on OPEC for lower oil prices," 7:23  PM ET Fri, 20 April 2018",1
2638,Cramer's game plan: Earnings could push stocks higher," 7:22  PM ET Fri, 20 April 2018",3
2639,Cramer Remix: The trade war with China has shifted to tech," 7:02  PM ET Thu, 19 April 2018",4
2640,Cramer's lightning round: International Paper is a 'very good buy' at these prices," 7:04  PM ET Thu, 19 April 2018",5
2641,Cramer points to 'China's ultimate weapon' in the trade war: Boycotts," 7:18  PM ET Thu, 19 April 2018",1
2643,"Cramer tracks the 'very close' race to $1 trillion between Apple, Amazon, Alphabet and Microsoft"," 7:16  PM ET Thu, 19 April 2018",1
2644,Cramer: A trade war with China produces a lot of losers and not enough winners," 7:15  PM ET Thu, 19 April 2018",1
2645,Cramer Remix: Wall Street’s big problem with IBM’s stock," 6:59  PM ET Wed, 18 April 2018",1
2646,Cramer's lightning round: Qualcomm needs to resolve its slew of issues," 7:02  PM ET Wed, 18 April 2018",4
2647,Cramer rebels against Wall Street's 'downbeat' outlook on the banks," 8:06  PM ET Wed, 18 April 2018",1
2648,Cramer: Investors should've seen Acacia Communications' collapse coming," 8:05  PM ET Wed, 18 April 2018",1
2650,Cramer applauds Home Depot's tech-centered push: 'Tech isn't just FANG'," 1:50  PM ET Thu, 19 April 2018",4
2651,Cramer Remix: Why Netflix is the best-performing stock of 2018 in the S&P 500," 7:00  PM ET Tue, 17 April 2018",5
2652,Cramer's lightning round: Don't buy Dr. Pepper until after its merger," 7:03  PM ET Tue, 17 April 2018",1
2653,Top retail analyst reveals his playbook for the China 'wildcard' as retailer optimism grows," 7:54  PM ET Tue, 17 April 2018",5
2654,Cramer says Snap's stock is too expensive and not growing fast enough—pass for now," 7:53  PM ET Tue, 17 April 2018",1
2655,Cramer's charts show political worries can boost top defense stocks like Boeing," 7:53  PM ET Tue, 17 April 2018",4
2656,Cramer: Netflix's meteoric rise is helping the rest of FANG,"11:01  AM ET Thu, 19 April 2018",4
2657,Cramer Remix: Get used to this weekly market-moving routine," 7:00  PM ET Mon, 16 April 2018",5
2658,Cramer's lightning round: Take a long-term view on Spotify," 7:02  PM ET Mon, 16 April 2018",4
2659,"Coal is on its way out, says Vistra Energy CEO as company shuts down coal plants"," 7:24  PM ET Mon, 16 April 2018",1
2660,Cramer: The proxy fight in Newell Brands has very limited upside," 7:24  PM ET Mon, 16 April 2018",2
2661,Cramer points to 3 political problems threatening the stock market's bull case," 7:24  PM ET Mon, 16 April 2018",1
2662,Cramer unpacks the bank stocks' weakness after strong earnings reports," 7:23  PM ET Mon, 16 April 2018",1
2663,"Cramer Remix: Weekend jitters, not earnings, drove down JP Morgan and Citigroup"," 7:04  PM ET Fri, 13 April 2018",1
2665,Cramer: Watch out—Micron's stock may not be as cheap as it looks," 7:43  PM ET Fri, 13 April 2018",3
2666,Cramer's lightning round: I think FMC is bottoming and ready to come back," 7:04  PM ET Fri, 13 April 2018",1
2667,Cramer vets under-the-radar cybersecurity plays like ForeScout," 7:42  PM ET Fri, 13 April 2018",4
2668,Cramer's game plan: Washington headwinds could overwhelm earnings," 7:42  PM ET Fri, 13 April 2018",2
2669,Cramer Remix: Amazon is the stock to own when the president doesn’t tweet," 7:00  PM ET Thu, 12 April 2018",5
2670,Cramer's lightning round: Don't sell Valeant here—I believe in its CEO," 7:02  PM ET Thu, 12 April 2018",1
2672,Cramer: Buy United Rentals over Caterpillar as US-China trade disputes loom," 7:34  PM ET Thu, 12 April 2018",1
2673,"Cramer: If you haven't invested yet, wait for a better, less political entry point"," 7:33  PM ET Thu, 12 April 2018",2
2674,Cramer talks Trump: 'Absence of fiery tweets' clearly helps stocks rise," 7:33  PM ET Thu, 12 April 2018",5
2675,Cramer Remix: The fundamental problem with FANG," 7:53  PM ET Wed, 11 April 2018",4
2676,Cramer's lightning round: My playbook for buying into Twitter's stock," 6:59  PM ET Wed, 11 April 2018",5
2677,Cramer: This is the most important earnings season for the big banks in years," 7:43  PM ET Wed, 11 April 2018",5
2678,Gap CEO Art Peck: Big data gives us major advantages over competitors," 2:10  PM ET Thu, 12 April 2018",5
2679,Cramer: My trust is selling Facebook—you just can't like the stock as much as you used to," 6:59  PM ET Wed, 11 April 2018",1
2680,Equity markets are looking good on fundamentals: Strategist," 6:06  AM ET Wed, 11 April 2018",4
2681,Investors look to exit the S&P 500 on rallies as the Trump honeymoon turns into a separation," 8:49  PM ET Tue, 10 April 2018",1
2682,Cramer Remix: Amazon’s punishment isn’t warranted – the stock is a buy," 7:16  PM ET Tue, 10 April 2018",1
2683,Cramer's lightning round: Buy Paychex's stock on a good quarter," 7:15  PM ET Tue, 10 April 2018",5
2684,"Cramer: Top oil and solar stocks may have more room to run, charts show"," 7:42  PM ET Tue, 10 April 2018",5
2685,"Cramer assesses the damage in Facebook, Tesla and Amazon's stocks after scandals"," 7:42  PM ET Tue, 10 April 2018",4
2687,Cramer: Trump has to play nice with China for stocks to climb," 7:41  PM ET Tue, 10 April 2018",4
2688,Cramer Remix: Ignoring Washington negatives could benefit your portfolio,"10:13  AM ET Tue, 10 April 2018",4
2689,Cramer's lightning round: AMD's bitcoin-driven decline doesn't make sense," 7:00  PM ET Mon,  9 April 2018",1
2690,Cramer spots a 'burgeoning bull market' in the golf stocks," 7:20  PM ET Mon,  9 April 2018",4
2691,Cramer lists 15 sectors unaffected by Trump's tariffs on China," 7:20  PM ET Mon,  9 April 2018",1
2692,Cramer: We got too negative on Friday—there's always a better time to sell," 7:19  PM ET Mon,  9 April 2018",1
2694,Socially responsible investing is gaining in popularity. And it may help you make more money," 5:23  PM ET Tue, 10 April 2018",5
2695,"Daryl Guppy: 'Very bearish' on S&P 500, Nasdaq and Dow Jones"," 3:08  AM ET Mon,  9 April 2018",3
2696,Cramer Remix: Don’t let fear keep you away from this 'renaissance' group," 7:01  PM ET Fri,  6 April 2018",5
2697,Cramer's lightning round: BlackBerry's CEO doesn't get enough credit," 7:03  PM ET Fri,  6 April 2018",1
2698,Cramer: The market's fear gauge is showing signs that stocks could be bottoming," 7:03  PM ET Fri,  6 April 2018",1
2699,Cramer: Watch these risky trades to track progress in the US vs. China 'trade war'," 7:03  PM ET Fri,  6 April 2018",5
2700,Cramer's game plan: Be on your toes and carry a lot of cash in a whipsaw market," 7:03  AM ET Mon,  9 April 2018",5
2701,"Cramer Remix: If the jobs report is strong, it may mean it’s time to buy the homebuilders"," 7:00  PM ET Thu,  5 April 2018",3
2702,Market volatility is reminiscent of the 1987 crash: Veteran trader Art Cashin," 6:55  PM ET Thu,  5 April 2018",4
2703,Cramer's lightning round: You're getting an opportunity to sell these oil stocks," 7:20  PM ET Thu,  5 April 2018",1
2704,"Toys R Us bankruptcy created 'the perfect storm' for Ollie's Bargain Outlet, says CEO"," 7:30  PM ET Thu,  5 April 2018",1
2705,"Cramer talks Spotify, the 'anti-IPO' joining the ranks of Netflix and Amazon"," 7:29  PM ET Thu,  5 April 2018",1
2706,Cramer: Trump's 'onslaught against Amazon' creates major market risk," 7:29  PM ET Thu,  5 April 2018",1
2707,JP Morgan strategist sees stocks up 10% by the end of 2018 on 'strong' corporate profits,"10:33  AM ET Thu,  5 April 2018",1
2709,Before the start of Q1 earnings season," 9:59  AM ET Thu,  5 April 2018",4
2710,Wall Street is not yet shaking in its boots over Spotify's IPO,"12:17  PM ET Wed,  4 April 2018",5
2711,Trump's tax cut windfall lifts stock dividends to new record," 5:41  PM ET Tue,  3 April 2018",5
2712,Watch Trump's Twitter feed for buying opportunities: Economist," 4:38  PM ET Tue,  3 April 2018",1
2713,"The market may test more lows soon as it seeks a new leader besides tech, analysts say"," 4:17  PM ET Tue,  3 April 2018",2
2714,"Tech stock prices were ‘not real life’ — and the correction has only just started, expert says"," 7:16  AM ET Tue,  3 April 2018",1
2716,"Market plunges on first day of second-quarter trading, but some analysts remain bullish"," 6:16  PM ET Mon,  2 April 2018",2
2717,Tesla's stock is falling for two reasons: UBS analyst," 6:55  PM ET Mon,  2 April 2018",2
2718,"As 2Q begins, strong profits seen overcoming concerns about big tech"," 9:03  AM ET Mon,  2 April 2018",4
2719,Cramer Remix: This discourages investors more than anything in this market,"11:14  AM ET Wed,  4 April 2018",1
2720,Cramer's lightning round: CVS' management is no good at telling their story," 7:04  PM ET Thu, 29 March 2018",1
2721,Nvidia CEO Jensen Huang: Uber accident made us realize the importance of self-driving tech," 7:26  PM ET Thu, 29 March 2018",5
2722,"Cramer's game plan: If you can't take the pain, do some selling"," 7:25  PM ET Thu, 29 March 2018",4
2723,"Nvidia CEO Jensen Huang: Cryptocurrency is here to stay, will be an 'important driver' for business"," 7:46  PM ET Thu, 29 March 2018",5
2724,Cramer Remix: The stock to get into if you can’t take the pain in tech," 7:00  PM ET Wed, 28 March 2018",5
2725,Cramer's lightning round: The tariff-plagued Deere is a long-term play," 6:56  PM ET Wed, 28 March 2018",4
2726,"UnitedHealth Group CEO: In 10 years, tech will push health care to become more value-based"," 7:00  PM ET Wed, 28 March 2018",5
2727,Cramer: How Facebook's drop compares to other scandal-ridden stocks like Chipotle," 6:58  PM ET Wed, 28 March 2018",1
2728,Cramer makes the case for consumer goods stocks amid tech-led declines," 6:57  PM ET Wed, 28 March 2018",4
2729,Market analyst Sam Stovall sees 'at least one more' big stock drop this year," 2:05  PM ET Wed, 28 March 2018",1
2731,Cramer Remix: Hold the obits — the mall is alive and well," 6:03  AM ET Wed, 28 March 2018",5
2732,Cramer's lightning round: Goldman Sachs' stock is a great play on this volatility," 6:56  PM ET Tue, 27 March 2018",5
2733,Kohl's CEO says 'big idea' behind Amazon partnership is driving traffic," 7:33  PM ET Tue, 27 March 2018",1
2734,Cramer's sell-off strategy: Don't own oil stocks for the long term," 7:33  PM ET Tue, 27 March 2018",1
2735,Cramer: Nvidia and Twitter's stocks are the best examples of the unforgiving market," 7:32  PM ET Tue, 27 March 2018",5
2736,JP Morgan: Investors are 'overreacting' so buy this market dip for big rally ahead,"10:53  AM ET Tue, 27 March 2018",1
2738,Cramer Remix: Facebook just flashed a classic sign that it’s oversold," 7:06  PM ET Mon, 26 March 2018",1
2739,Cramer's lightning round: Buy AT&T—I think it'll win the DOJ lawsuit," 7:02  PM ET Mon, 26 March 2018",1
2740,Cramer: You should be scared if you own natural gas stocks," 7:37  PM ET Mon, 26 March 2018",3
2741,Wendy's just released a hip-hop mixtape—here's what the CEO had to say," 7:37  PM ET Mon, 26 March 2018",5
2742,"Cramer pinpoints what sparked the rally: China, 60 Minutes, short-covering and Facebook"," 8:28  AM ET Tue, 27 March 2018",1
2743,Cramer Remix: The one bright spot after a tough week," 7:02  PM ET Fri, 23 March 2018",5
2744,Cramer's lightning round: Hold XPO Logistics—it's best in class," 7:02  PM ET Fri, 23 March 2018",5
2745,"Cramer: Dropbox deserves to trade like a cloud king, but be careful buying"," 7:28  PM ET Fri, 23 March 2018",3
2746,Cramer: Tommy Hilfiger parent PVH is a buy ahead of earnings," 7:27  PM ET Fri, 23 March 2018",5
2747,Cramer's game plan: Be prepared for more White House chaos," 9:10  AM ET Mon, 26 March 2018",3
2748,Cramer Remix: Why you should buy high-growth stocks during the sell-off," 7:02  PM ET Thu, 22 March 2018",5
2749,Cramer's lightning round: Marijuana stock GW Pharmaceuticals is too hot to buy," 7:06  PM ET Thu, 22 March 2018",1
2750,Cramer pits Home Depot against Lowe's and picks the better stock," 7:41  PM ET Thu, 22 March 2018",4
2751,JP Morgan: 'Goldilocks' stock conditions ahead after Fed decision," 7:47  PM ET Thu, 22 March 2018",3
2753,Cramer: This decline isn't about the Fed. It's about Trump and the elites," 7:40  PM ET Thu, 22 March 2018",1
2754,Cramer says fears of artificial intelligence added to the market sell-off," 7:40  PM ET Thu, 22 March 2018",1
2755,The market fell because of the tariffs: Art Cashin," 5:35  PM ET Thu, 22 March 2018",1
2756,Cramer Remix: Goldman Sachs is the ideal stock to own in this moment of volatility," 7:01  PM ET Wed, 21 March 2018",5
2757,Cramer: What FedEx's earnings call reveals about Larry Kudlow's views on trade," 7:24  PM ET Wed, 21 March 2018",1
2758,Cramer's lightning round: Watch the technicals with Canada Goose's stock," 7:13  PM ET Wed, 21 March 2018",4
2760,Cramer highlights the value of McDonald's: The current pullback is a 'gift'," 7:23  PM ET Wed, 21 March 2018",4
